name,pos,team,adp
Ja'Marr Chase,WR,CIN,1.4
Bijan Robinson,RB,ATL,1.8
Saquon Barkley,RB,PHI,2.1
Justin Jefferson,WR,MIN,4.2
CeeDee Lamb,WR,DAL,4.9
Jahmyr Gibbs,RB,DET,5.0
Malik Nabers,WR,NYG,7.1
Christian McCaffrey,RB,SF,8.1
Nico Collins,WR,HOU,9.8
Amon-Ra St. Brown,WR,DET,10.6
Puka Nacua,WR,LAR,10.9
Derrick Henry,RB,BAL,11.4
Ashton Jeanty,RB,LV,12.3
De'Von Achane,RB,MIA,14.4
Drake London,WR,ATL,14.9
Brian Thomas Jr.,WR,JAX,15.2
Josh Jacobs,RB,GB,16.1
Bucky Irving,RB,TB,17.6
A.J. Brown,WR,PHI,17.7
Chase Brown,RB,CIN,19.5
Jonathan Taylor,RB,IND,20.0
Tee Higgins,WR,CIN,21.6
Lamar Jackson,QB,BAL,23.1
Josh Allen,QB,BUF,23.7
Ladd McConkey,WR,LAC,23.9
Kyren Williams,RB,LAR,24.0
Brock Bowers,TE,LV,26.5
Davante Adams,WR,LAR,26.7
Tyreek Hill,WR,FA,26.9
Alvin Kamara,RB,NO,27.9
Mike Evans,WR,SF,28.9
Joe Burrow,QB,CIN,30.9
Jayden Daniels,QB,WAS,31.4
Jaxon Smith-Njigba,WR,SEA,32.5
Trey McBride,TE,ARI,32.7
James Cook,RB,BUF,34.8
Terry McLaurin,WR,WAS,36.8
Jalen Hurts,QB,PHI,37.4
DK Metcalf,WR,PIT,38.2
Marvin Harrison Jr.,WR,ARI,38.2
James Conner,RB,ARI,40.8
Chuba Hubbard,RB,CAR,40.8
Omarion Hampton,RB,LAC,41.2
Garrett Wilson,WR,NYJ,41.6
George Kittle,TE,SF,43.8
DJ Moore,WR,BUF,44.6
DeVonta Smith,WR,PHI,45.4
Kenneth Walker III,RB,KC,46.9
Tetairoa McMillan,WR,CAR,47.3
Courtland Sutton,WR,DEN,48.1
Breece Hall,RB,NYJ,49.1
Xavier Worthy,WR,KC,49.3
TreVeyon Henderson,RB,NE,51.3
Patrick Mahomes,QB,KC,51.9
Baker Mayfield,QB,TB,52.0
Jerry Jeudy,WR,CLE,56.5
Zay Flowers,WR,BAL,57.1
Tony Pollard,RB,TEN,57.3
Calvin Ridley,WR,TEN,57.5
D'Andre Swift,RB,CHI,58.1
David Montgomery,RB,HOU,59.5
George Pickens,WR,DAL,59.6
Jameson Williams,WR,DET,61.7
RJ Harvey,RB,DEN,63.4
Sam LaPorta,TE,DET,63.6
Aaron Jones Sr.,RB,MIN,64.8
Jaylen Waddle,WR,DEN,64.8
Travis Kelce,TE,KC,65.8
Deebo Samuel Sr.,WR,FA,67.8
Isiah Pacheco,RB,DET,68.9
Bo Nix,QB,DEN,69.0
Brock Purdy,QB,SF,69.3
Chris Olave,WR,NO,71.4
Tyrone Tracy Jr.,RB,NYG,72.2
Jakobi Meyers,WR,JAX,73.6
David Njoku,TE,FA,73.6
Matthew Golden,WR,GB,74.9
T.J. Hockenson,TE,MIN,75.1
Jaylen Warren,RB,PIT,76.0
Kaleb Johnson,RB,PIT,76.2
Ricky Pearsall,WR,SF,78.3
Rome Odunze,WR,CHI,79.3
Stefon Diggs,WR,FA,79.8
Jauan Jennings,WR,MIN,81.3
Kyler Murray,QB,MIN,82.5
Emeka Egbuka,WR,TB,84.6
Austin Ekeler,RB,FA,84.8
Khalil Shakir,WR,BUF,84.8
Dak Prescott,QB,DAL,87.2
Mark Andrews,TE,BAL,87.7
Evan Engram,TE,DEN,91.1
Cooper Kupp,WR,SEA,92.4
J.K. Dobbins,RB,DEN,94.0
Rashee Rice,WR,KC,94.0
Darnell Mooney,WR,NYG,94.5
Jared Goff,QB,DET,96.1
Tyler Warren,TE,IND,98.2
Caleb Williams,QB,CHI,98.3
Keon Coleman,WR,BUF,100.0
Zach Charbonnet,RB,SEA,100.3
Jordan Addison,WR,MIN,100.9
Javonte Williams,RB,DAL,101.6
Chris Godwin Jr.,WR,TB,102.1
Rashid Shaheed,WR,SEA,102.5
Denver Defense,DST,DEN,102.7
J.J. McCarthy,QB,MIN,104.7
Travis Etienne Jr.,RB,NO,104.7
Jordan Mason,RB,MIN,105.9
Philadelphia Defense,DST,PHI,107.7
Drake Maye,QB,NE,107.7
Justin Herbert,QB,LAC,109.8
Jacory Croskey-Merritt,RB,WAS,110.5
Justin Fields,QB,KC,111.0
Pittsburgh Defense,DST,PIT,111.4
Jayden Reed,WR,GB,111.5
Wan'Dale Robinson,WR,TEN,114.0
Christian Kirk,WR,SF,114.0
Keenan Allen,WR,FA,114.3
Baltimore Defense,DST,BAL,115.5
Tucker Kraft,TE,GB,115.7
Jake Ferguson,TE,DAL,119.7
